msfsi_collectionrisk,msfsi_dayspastdue,msfsi_delinquencystatus, msfsi_disbursedamount ,msfsi_installmentamount,msfsi_interestrate,msfsi_loantype,msfsi_nextpaymentamount,msfsi_nextpaymentdate,msfsi_customerid,msfsi_number
High,159,Delinquent,"$198,968 ",36,0.15,Buy-out,"$5,527 ",7/7/2022,BABCO88H,5002354565670280
High,21,Non-Delinquent,"$188,475 ",24,0.15,Buy-out,"$7,853 ",1/8/2022,AFFSE9IK,5409149170544640
Medium,69,Non-Delinquent,"$357,292 ",48,0.22,Buy-out,"$7,444 ",8/17/2022,ABCO9M32,5100171333983350
Low,89,Non-Delinquent,"$67,492 ",24,0.12,Top-up,"$2,812 ",2/26/2022,ACSHN2S4,5048376720716540
Low,158,Delinquent,"$288,593 ",60,0.18,New,"$4,810 ",2/28/2022,ABSS4G45,5138202624924580
Medium,169,Delinquent,"$71,054 ",24,0.18,New,"$2,961 ",9/20/2022,AFFSE9IK,5048373549407310
Medium,121,Delinquent,"$117,952 ",24,0.15,New,"$4,915 ",8/23/2022,AFFSE9IK,5100145220072870
High,103,Delinquent,"$373,570 ",24,0.18,Top-up,"$15,565 ",9/9/2022,ABCO9M32,5010128572037050
Low,39,Non-Delinquent,"$178,517 ",24,0.15,Top-up,"$7,438 ",10/25/2022,ACSHN2S4,5100141042402220
High,115,Delinquent,"$152,015 ",36,0.22,Top-up,"$4,223 ",12/6/2021,ACSHN2S4,5575758427825870
High,58,Non-Delinquent,"$338,595 ",60,0.22,New,"$5,643 ",6/1/2022,AFFSE9IK,5342857408938200
Medium,47,Non-Delinquent,"$302,531 ",48,0.12,New,"$6,303 ",3/26/2022,ABCO9M32,5108755142554600
High,36,Non-Delinquent,"$148,811 ",60,0.12,New,"$2,480 ",10/23/2022,ACTBBDC3,5286305255850830
High,62,Non-Delinquent,"$370,555 ",36,0.18,New,"$10,293 ",5/15/2022,ABSS4G45,5594061141938300
High,164,Delinquent,"$127,260 ",24,0.18,Buy-out,"$5,302 ",3/28/2022,ACSHN2S4,5100170598637870
High,15,Non-Delinquent,"$418,595 ",60,0.18,New,"$6,977 ",12/10/2021,ABCO9M32,5342973981528990
High,70,Non-Delinquent,"$334,989 ",24,0.12,Top-up,"$13,958 ",6/28/2022,ABC28UU7,5002351186612820
Low,92,Delinquent,"$341,880 ",12,0.22,Buy-out,"$28,490 ",11/21/2022,ABCO9M32,5414064821242650
Medium,163,Delinquent,"$479,460 ",36,0.18,Top-up,"$13,318 ",1/19/2022,AFFSE9IK,5002352092999960
High,145,Delinquent,"$138,682 ",48,0.12,Buy-out,"$2,889 ",10/5/2022,ABSS4G45,5100149825040300
High,86,Non-Delinquent,"$53,319 ",12,0.18,Top-up,"$4,443 ",4/7/2022,AFFSE9IK,5184699543464130
Medium,178,Delinquent,"$434,715 ",24,0.22,Top-up,"$18,113 ",11/17/2021,ACTBBDC3,5007667224351810
Medium,52,Non-Delinquent,"$485,380 ",36,0.18,New,"$13,483 ",6/16/2022,ACTBBDC3,5010121255920450
High,160,Delinquent,"$264,828 ",12,0.12,New,"$22,069 ",11/30/2021,ABC28UU7,5100147847972680
Low,158,Delinquent,"$375,839 ",48,0.22,Buy-out,"$7,830 ",8/19/2022,ABC28UU7,5100173676180860
Low,144,Delinquent,"$457,496 ",48,0.12,New,"$9,531 ",11/28/2021,BABCO88H,5108759484272600
Medium,64,Non-Delinquent,"$410,744 ",60,0.22,New,"$6,846 ",2/28/2022,ACSHN2S4,5277162742204230
Low,81,Non-Delinquent,"$395,899 ",60,0.15,Top-up,"$6,598 ",11/19/2021,BABCO88H,5469865126802310
Low,25,Non-Delinquent,"$470,000 ",48,0.15,Buy-out,"$9,792 ",8/4/2022,ACSHN2S4,5100170732140890
Medium,174,Delinquent,"$136,389 ",24,0.18,New,"$5,683 ",9/19/2022,ABSS4G45,5010129246311590
